item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q887254,Heinrich Mark,Q737115,Prime Minister of Estonia,1971-05-08,1990-03-01,,,,Q886992,Tõnis Kint,Q2071669,Enno Penno,,,,,,Q887254-ff3a029c-408b-7919-0577-cccad67727bb
Q724437,Helir-Valdor Seeder,Q16405106,Minister of Agriculture,2007-04-06,2014-03-26,,,,Q293175,Ester Tuiksoo,Q1398025,Ivari Padar,,,,,,Q724437-3B41F80C-2574-415F-8113-E5C8CB1DDA70
Q13628736,Helmen Kütt,Q24060088,Minister of Social Protection,2014-03-26,2015-03-30,,,,,,,,,,,,,Q13628736-0e024e05-4e24-c077-8994-7e0ccf2498a5
Q20528712,Henrik Hololei,Q21121665,Minister of Economic Affairs and Communications,2001-10-15,2002-01-28,,,,,,,,,,,,,Q20528712-F7E014DB-7D64-45A6-ADB0-ADF0B07B44B4
Q3440340,Hugo Bernhard Rahamägi,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q3440340-2C0C3CE4-1967-4034-9FA7-9E00EE72412B
Q12364101,Hugo Kukke,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q12364101-65C6D688-B877-4043-8EE5-068CF6F2B20A
Q12364101,Hugo Kukke,Q16402881,Minister of Social Affairs,,,,,,,,,,,,,,,Q12364101-C7A1B8AC-21EF-40BF-A7A3-A9740B348F8E
Q16404252,Ilmar Mändmets,Q16405106,Minister of Agriculture,1995-11-06,1997-03-17,,,,,,,,,,,,,Q16404252-2BAD8AD5-9338-48EF-98A8-D56C992AE2FE
Q12364503,Indrek Kannik,Q3741249,Minister of Defence,1994-01-01,1994-04-01,,,,,,,,,,,,,Q12364503-BE79BD80-34AD-4746-8E33-EA22430F4A89
Q16403371,Indrek Saar,Q16402952,Minister of Culture,2015-04-09,2019-04-29,,,,Q11032994,Urve Tiidus,Q1149033,Tõnis Lukas,,,,,,Q16403371-CF8ED6FA-C52B-4C26-B781-6CF0D1ECFCEE
Q1398025,Ivari Padar,Q16405106,Minister of Agriculture,1999-03-25,2002-01-28,,,,Q12359190,Andres Varik,Q1410118,Jaanus Marrandi,,,,,,Q1398025-db3e87d9-4f4b-1837-825d-2f67b2dcec9b
Q1398025,Ivari Padar,Q16405106,Minister of Agriculture,2014-04-07,2015-04-09,,,,Q724437,Helir-Valdor Seeder,Q3741429,Urmas Kruuse,,,,,,Q1398025-D57AAAE5-CDEC-4DFC-9BEF-1B9DE74FAB3F
Q1398025,Ivari Padar,Q21103025,Minister of Finance,2007-04-05,2009-05-21,,,,Q12358481,Aivar Sõerd,Q983831,Jürgen Ligi,,,,,,Q1398025-AB31D368-3508-4581-A5DB-6FA251708A6A
Q1375585,Jaak Aab,Q6866110,Minister of Education and Research,2020-11-25,2021-01-26,Q63343147,Jüri Ratas' second cabinet,,Q449851,Mailis Reps,Q20933509,Liina Kersna,,,,,,Q1375585-fdc44779-4165-17ea-eefc-bbb956179de7
Q1375585,Jaak Aab,Q20528404,Minister of Public Administration,2017-06-12,2018-05-02,Q27907838,Jüri Ratas' first cabinet,,Q16404020,Mihhail Korb,Q16404169,Janek Mäggi,,,,,,Q1375585-462ec499-4070-f05f-21b1-5917330e48d2
Q1375585,Jaak Aab,Q20528404,Minister of Public Administration,2019-04-29,2020-11-20,Q63343147,Jüri Ratas' second cabinet,,Q16404169,Janek Mäggi,Q22041600,Anneli Ott,,,,,,Q1375585-f163309c-4789-f711-be8e-5be90f3fe632
Q1375585,Jaak Aab,Q20528404,Minister of Public Administration,2021-01-26,,Q105071498,Kaja Kallas' cabinet,,Q22041600,Anneli Ott,,,,,https://www.valitsus.ee/peaminister-ministrid/valitsuse-koosseis,Jaak Aab,Riigihalduse minister,Q1375585-22d80b04-4398-3b67-6b89-938f1f439eab
Q1375585,Jaak Aab,Q16402881,Minister of Social Affairs,2005-04-13,2007-04-05,,,,Q1399189,Marko Pomerants,Q509232,Maret Maripuu,,,,,,Q1375585-6597DA68-9266-4E70-A436-D46A3A901F0D
Q253515,Jaak Aaviksoo,Q23725838,Minister of Culture and Education,1995-11-06,1995-12-31,,,,,,,,,,,,,Q253515-25BD0AB6-9987-45C5-828D-D9BFBE65217E
Q253515,Jaak Aaviksoo,Q3741249,Minister of Defence,2007-04-05,2011-04-06,,,,,,,,,,,,,Q253515-1EA4284A-FD76-47E9-81FC-60AB2B847A63
Q253515,Jaak Aaviksoo,Q6866110,Minister of Education and Research,1996-01-01,1996-11-30,,,,,,,,,,,,,Q253515-a0f9bd8c-4e91-a0dc-1a84-15def8725e05
Q253515,Jaak Aaviksoo,Q6866110,Minister of Education and Research,2011-04-06,2014-03-26,,,,,,,,,,,,,Q253515-3D794363-2DF9-48E3-92E8-526FAE31AE26
Q1676747,Jaak Allik,Q16402952,Minister of Culture,1996-01-01,1999-03-25,,,,Q12372215,Peeter Olesk,,,,,,,,Q1676747-81AC8EA5-97ED-4B55-8ED5-A613A3D61818
Q1676747,Jaak Allik,Q24067751,minister without portfolio,1995-11-06,1996-01-01,,,,,,,,,,,,,Q1676747-9aa8a34d-4170-f29b-a79b-e1f1b81a1fde
Q1676748,Jaak Jõerüüt,Q3741249,Minister of Defence,2004-11-22,2005-10-08,,,,,,,,,,https://www.delfi.ee/artikkel/41831347/ilves-nimetas-eesti-suursaadikuks-rootsis-jaak-joeruudi,,,Q1676748-46FB30A3-939B-4410-BA74-64943C56A642
Q12364770,Jaak Leimann,Q21121665,Minister of Economic Affairs and Communications,1996-12-02,1999-03-25,,,,,,,,,,,,,Q12364770-FFA93785-F4F1-4E89-9772-F0CD93EEEEF0
Q12364817,Jaan Hünerson,Q16402880,Minister of Agricultural Work,,,,,,,,,,,,,,,Q12364817-AF4D4794-5F76-4CB8-897B-58EBC62B8FE7
Q12364817,Jaan Hünerson,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q12364817-D7856AA5-90CA-4CCD-847A-D61338DDA2CA
Q12364817,Jaan Hünerson,Q6866431,Minister of the Interior,1927-03-04,1928-12-04,,,12,Q14772678,Ado Anderkopp,Q12365170,Johan Raid,,,,,,Q12364817-6bc89a08-41dc-e22c-621d-614ebaed12a0
Q12364817,Jaan Hünerson,Q6866431,Minister of the Interior,1931-02-12,1931-11-20,,,16,Q14772678,Ado Anderkopp,Q12365170,Johan Raid,,,,,,Q12364817-6E2BA44B-A64D-4E0C-93ED-FD2E697AD124
Q432312,Jaan Lattik,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q432312-F264A288-E7F5-41A8-AC1E-E44BE0DED986
Q432312,Jaan Lattik,Q1760777,Minister of Foreign Affairs,1928-12-04,1931-02-12,,,,,,,,,,,,,Q432312-C98AE978-AE1F-4479-B4CD-C2C976773799
Q16405864,Jaan Leetsar,Q16405106,Minister of Agriculture,1992-10-21,1994-11-08,,,,,,,,,,,,,Q16405864-7F3E9202-5B5B-45A6-8480-FA6E94FC4A14
Q1530269,Jaan Manitski,Q1760777,Minister of Foreign Affairs,1992-04-01,1992-10-01,,,,Q153149,Lennart Meri,Q1387518,Trivimi Velliste,,,,,,Q1530269-23F15803-7FEE-4A0D-AF08-0F56E53ED228
Q7872875,Jaan Piiskar,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q7872875-8F30AF2B-75E0-4329-B3A9-F2D24CA29379
Q1385836,Jaan Poska,Q1760777,Minister of Foreign Affairs,1918-02-24,1919-09-20,,,1,,,Q887682,Ants Piip,,,,,,Q1385836-321F7125-93A7-4A94-AF15-4E2B2AFA79AE
Q3742400,Jaan Soots,Q3741249,Minister of Defence,1921-01-25,1923-08-02,,,,,,,,,,,,,Q3742400-96D03822-2E3C-4EA4-8D21-1534833F93BA
Q3742400,Jaan Soots,Q3741249,Minister of Defence,1924-12-16,1927-03-04,,,,,,,,,,,,,Q3742400-8cc7ce4d-41c8-282b-3d48-236e2c68cdd0
